DATE,NGMP19820
2001-01-01,183814.402
2002-01-01,189898.857
2003-01-01,195266.952
2004-01-01,198259.217
2005-01-01,205241.67
2006-01-01,201558.669
2007-01-01,204804.192
2008-01-01,193321.79
2009-01-01,178663.033
2010-01-01,190585.335
2011-01-01,200061.237
2012-01-01,212218.111
2013-01-01,219917.961
2014-01-01,227090.922
2015-01-01,238906.845
2016-01-01,247223.237
2017-01-01,252798.262
2018-01-01,262545.97
2019-01-01,269850.041
